TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482822445942,138.258,99.118,129.59.105.87,3
1482822446143,138.836,99.968,129.59.105.87,3
1482822446348,146.027,101.671,129.59.105.87,3
1482822446554,148.073,100.018,129.59.105.87,3
1482822446742,141.029,99.418,129.59.105.87,3
1482822446966,163.836,115.447,129.59.105.87,3
1482822447185,182.026,146.027,129.59.105.87,3
1482822447383,180.27,139.108,129.59.105.87,3
1482822447546,141.425,100.231,129.59.105.87,3
1482822447750,144.792,99.618,129.59.105.87,3
1482822447951,147.812,99.766,129.59.105.87,3
1482822448152,144.052,100.258,129.59.105.87,3
1482822448344,139.798,99.931,129.59.105.87,3
1482822448549,143.59,99.818,129.59.105.87,3
1482822448748,142.186,99.462,129.59.105.87,3
1482822448949,143.724,99.551,129.59.105.87,3
1482822449145,140.354,100.402,129.59.105.87,3
1482822449346,139.825,99.981,129.59.105.87,3
1482822449549,141.842,98.275,129.59.105.87,3
1482822449753,142.397,98.911,129.59.105.87,3
1482822449948,140.839,100.561,129.59.105.87,3
1482822450148,140.58,99.647,129.59.105.87,3
1482822450346,137.927,99.735,129.59.105.87,3
1482822450584,175.95,132.754,129.59.105.87,3
1482822450745,137.285,100.849,129.59.105.87,3
1482822450950,141.418,99.126,129.59.105.87,3
1482822451148,139.375,100.024,129.59.105.87,3
1482822451370,158.5,110.58,129.59.105.87,3
1482822451592,182.589,145.595,129.59.105.87,3
1482822451796,187.478,149.67,129.59.105.87,3
1482822451965,156.07,113.898,129.59.105.87,3
1482822452166,156.544,110.895,129.59.105.87,3
1482822452352,142.546,101.175,129.59.105.87,3
1482822452549,139.119,99.873,129.59.105.87,3
1482822452758,147.467,99.792,129.59.105.87,3
1482822452954,142.161,99.677,129.59.105.87,3
1482822453153,142.944,100.998,129.59.105.87,3
1482822453351,140.209,101.399,129.59.105.87,3
1482822453552,142.338,100.396,129.59.105.87,3
1482822453755,143.457,101.749,129.59.105.87,3
1482822453951,139.74,100.421,129.59.105.87,3
1482822454153,141.574,100.967,129.59.105.87,3
1482822454355,143.289,99.149,129.59.105.87,3
1482822454550,134.332,99.893,129.59.105.87,3
1482822454753,140.095,98.336,129.59.105.87,3
1482822454952,139.205,99.252,129.59.105.87,3
1482822455157,143.791,100.503,129.59.105.87,3
1482822455354,140.971,99.743,129.59.105.87,3
1482822455554,141.331,99.49,129.59.105.87,3
1482822455754,140.594,99.434,129.59.105.87,3
1482822455949,134.914,100.103,129.59.105.87,3
1482822456150,136.472,99.966,129.59.105.87,3
1482822456354,140.194,101.371,129.59.105.87,3
1482822456556,142.165,99.687,129.59.105.87,3
1482822456754,141.101,99.766,129.59.105.87,3
1482822456960,145.68,100.081,129.59.105.87,3
1482822457187,171.865,133.649,129.59.105.87,3
1482822457356,142.227,100.889,129.59.105.87,3
1482822457558,142.451,107.829,129.59.105.87,3
1482822457757,139.726,100.109,129.59.105.87,3
1482822457953,136.913,101.131,129.59.105.87,3
1482822458168,151.891,106.619,129.59.105.87,3
1482822458356,140.275,98.791,129.59.105.87,3
